routing,ts,event,link,duration,reorder_pct,gap,delay_add,loss_add,jitter,correlation,mtu,duplicate_pct
eigrp,1785390486.2407887,duplicate_end,s1-s2,0,,,,,,,,
eigrp,1785390709.9615705,packet_reorder,s2-s3,18,18.0,5.0,,,,,,
eigrp,1785390729.5577354,packet_reorder_end,s2-s3,0,,,,,,,,
eigrp,1785390893.72605,congestion,s4-s5,16,,,39.0,5.98,,,,
eigrp,1785390909.7752583,congestion_end,s4-s5,0,,,,,,,,
bgp,1785389783.978546,link_degrade,s1-s8,43,,,31.0,1.52,,,,
bgp,1785389826.9871244,link_degrade_end,s1-s8,0,,,,,,,,
bgp,1785389860.5641882,congestion,s1-s8,15,,,27.0,7.34,,,,
bgp,1785389876.095425,congestion_end,s1-s8,0,,,,,,,,
bgp,1785390184.9630394,micro_burst,s3-s6,2,,,87.0,14.04,,,,
bgp,1785390187.6228058,micro_burst_end,s3-s6,0,,,,,,,,
bgp,1785390244.2057953,link_flap_start,s2-s3,4,,,,,,,,
bgp,1785390248.2641177,link_flap_end,s2-s3,0,,,,,,,,
bgp,1785390324.27811,link_degrade,s3-s6,26,,,17.0,4.67,,,,
bgp,1785390350.407248,link_degrade_end,s3-s6,0,,,,,,,,
bgp,1785390470.379017,buffer_bloat,s1-s8,12,,,242.0,,,,,
bgp,1785390482.3897097,buffer_bloat_end,s1-s8,0,,,,,,,,
bgp,1785390700.5217023,link_degrade,s1-s2,28,,,38.0,3.25,,,,
bgp,1785390728.579275,link_degrade_end,s1-s2,0,,,,,,,,
bgp,1785390746.5336862,link_flap_start,s1-s2,4,,,,,,,,
bgp,1785390750.665022,link_flap_end,s1-s2,0,,,,,,,,
bgp,1785390821.3777058,buffer_bloat,s1-s8,19,,,175.0,,,,,
bgp,1785390840.3956015,buffer_bloat_end,s1-s8,0,,,,,,,,
bgp,1785391048.6498628,jitter_spike,s3-s6,9,,,27.0,,24.0,45.0,,
bgp,1785391057.6679568,jitter_spike_end,s3-s6,0,,,,,,,,
bgp,1785391307.6544282,micro_burst,s4-s5,1,,,111.0,14.01,,,,
bgp,1785391308.6624954,micro_burst_end,s4-s5,0,,,,,,,,
ecmp,1785389537.6662383,packet_reorder,s8-s9,19,11.0,10.0,,,,,,
ecmp,1785389556.6762297,packet_reorder_end,s8-s9,0,,,,,,,,
ecmp,1785389813.761719,micro_burst,s4-s5,3,,,123.0,14.98,,,,
ecmp,1785389816.7710433,micro_burst_end,s4-s5,0,,,,,,,,
ecmp,1785390419.0338318,congestion,s1-s2,6,,,54.0,2.57,,,,
ecmp,1785390425.03885,congestion_end,s1-s2,0,,,,,,,,
ecmp,1785390442.0537286,link_degrade,s3-s6,36,,,21.0,4.03,,,,
ecmp,1785390478.0625958,link_degrade_end,s3-s6,0,,,,,,,,
ecmp,1785390492.0696824,mtu_blackhole,s8-s9,13,,,,,,,576.0,
