ts,src,dst,src_ip,dst_ip,src_as,dst_as,routing,path_switches,as_path,num_switch_hops,num_total_hops,theoretical_delay_ms,theoretical_rtt_ms,theoretical_loss_pct,bottleneck_bw_mbps,real_rtt_ms,real_rtt_min,real_rtt_max,real_loss_pct,hops
1785385165.581276,root1,corp2,10.1.0.1,10.7.0.2,100,400,l2_learn,"[""s1"", ""s4"", ""s6"", ""s7""]","[100, 300, 400]",4,5,22.5,45.0,0.115,20,50.218,46.873,56.327,0.0,"[{""hop"": 0, ""from"": ""root1"", ""to"": ""s1"", ""type"": ""access"", ""bw_mbps"": 50, ""delay_ms"": 0.5, ""loss_pct"": 0, ""as"": 100, ""role"": ""tier1_core""}, {""hop"": 1, ""from"": ""s1"", ""to"": ""s4"", ""type"": ""backbone"", ""bw_mbps"": 60, ""delay_ms"": 3.0, ""loss_pct"": 0.005, ""jitter_ms"": 0.5, ""queue_size"": 80, ""as"": 300, ""role"": ""cdn_edge""}, {""hop"": 2, ""from"": ""s4"", ""to"": ""s6"", ""type"": ""peering"", ""bw_mbps"": 20, ""delay_ms"": 15.0, ""loss_pct"": 0.02, ""jitter_ms"": 2.0, ""queue_size"": 35, ""as"": 400, ""role"": ""enterprise_core""}, {""hop"": 3, ""from"": ""s6"", ""to"": ""s7"", ""type"": ""backbone"", ""bw_mbps"": 50, ""delay_ms"": 1.0, ""loss_pct"": 0.01, ""jitter_ms"": 0.3, ""queue_size"": 80, ""as"": 400, ""role"": ""enterprise_access""}, {""hop"": 4, ""from"": ""s7"", ""to"": ""corp2"", ""type"": ""access"", ""bw_mbps"": 20, ""delay_ms"": 3.0, ""loss_pct"": 0.08, ""as"": 400, ""role"": ""enterprise_access""}]"
1785385167.635927,corp2,root1,10.7.0.2,10.1.0.1,400,100,l2_learn,"[""s7"", ""s6"", ""s4"", ""s1""]","[400, 300, 100]",4,5,22.5,45.0,0.115,20,46.305,45.755,46.621,0.0,"[{""hop"": 0, ""from"": ""corp2"", ""to"": ""s7"", ""type"": ""access"", ""bw_mbps"": 20, ""delay_ms"": 3.0, ""loss_pct"": 0.08, ""as"": 400, ""role"": ""enterprise_access""}, {""hop"": 1, ""from"": ""s7"", ""to"": ""s6"", ""type"": ""backbone"", ""bw_mbps"": 50, ""delay_ms"": 1.0, ""loss_pct"": 0.01, ""jitter_ms"": 0.3, ""queue_size"": 80, ""as"": 400, ""role"": ""enterprise_core""}, {""hop"": 2, ""from"": ""s6"", ""to"": ""s4"", ""type"": ""peering"", ""bw_mbps"": 20, ""delay_ms"": 15.0, ""loss_pct"": 0.02, ""jitter_ms"": 2.0, ""queue_size"": 35, ""as"": 300, ""role"": ""cdn_edge""}, {""hop"": 3, ""from"": ""s4"", ""to"": ""s1"", ""type"": ""backbone"", ""bw_mbps"": 60, ""delay_ms"": 3.0, ""loss_pct"": 0.005, ""jitter_ms"": 0.5, ""queue_size"": 80, ""as"": 100, ""role"": ""tier1_core""}, {""hop"": 4, ""from"": ""s1"", ""to"": ""root1"", ""type"": ""access"", ""bw_mbps"": 50, ""delay_ms"": 0.5, ""loss_pct"": 0, ""as"": 100, ""role"": ""tier1_core""}]"
1785385169.7533808,root1,home1,10.1.0.1,10.9.0.1,100,500,l2_learn,"[""s1"", ""s8"", ""s9""]","[100, 500]",3,4,38.5,77.0,0.43,10,116.579,110.713,128.225,0.0,"[{""hop"": 0, ""from"": ""root1"", ""to"": ""s1"", ""type"": ""access"", ""bw_mbps"": 50, ""delay_ms"": 0.5, ""loss_pct"": 0, ""as"": 100, ""role"": ""tier1_core""}, {""hop"": 1, ""from"": ""s1"", ""to"": ""s8"", ""type"": ""peering"", ""bw_mbps"": 20, ""delay_ms"": 20.0, ""loss_pct"": 0.03, ""jitter_ms"": 4.0, ""queue_size"": 30, ""as"": 500, ""role"": ""residential_agg""}, {""hop"": 2, ""from"": ""s8"", ""to"": ""s9"", ""type"": ""access_agg"", ""bw_mbps"": 15, ""delay_ms"": 3.0, ""loss_pct"": 0.1, ""jitter_ms"": 2.0, ""queue_size"": 30, ""as"": 500, ""role"": ""residential_access""}, {""hop"": 3, ""from"": ""s9"", ""to"": ""home1"", ""type"": ""access"", ""bw_mbps"": 10, ""delay_ms"": 15.0, ""loss_pct"": 0.3, ""as"": 500, ""role"": ""residential_access""}]"
1785385171.873173,home1,root1,10.9.0.1,10.1.0.1,500,100,l2_learn,"[""s9"", ""s8"", ""s1""]","[500, 100]",3,4,38.5,77.0,0.43,10,111.005,110.562,111.664,0.0,"[{""hop"": 0, ""from"": ""home1"", ""to"": ""s9"", ""type"": ""access"", ""bw_mbps"": 10, ""delay_ms"": 15.0, ""loss_pct"": 0.3, ""as"": 500, ""role"": ""residential_access""}, {""hop"": 1, ""from"": ""s9"", ""to"": ""s8"", ""type"": ""access_agg"", ""bw_mbps"": 15, ""delay_ms"": 3.0, ""loss_pct"": 0.1, ""jitter_ms"": 2.0, ""queue_size"": 30, ""as"": 500, ""role"": ""residential_agg""}, {""hop"": 2, ""from"": ""s8"", ""to"": ""s1"", ""type"": ""peering"", ""bw_mbps"": 20, ""delay_ms"": 20.0, ""loss_pct"": 0.03, ""jitter_ms"": 4.0, ""queue_size"": 30, ""as"": 100, ""role"": ""tier1_core""}, {""hop"": 3, ""from"": ""s1"", ""to"": ""root1"", ""type"": ""access"", ""bw_mbps"": 50, ""delay_ms"": 0.5, ""loss_pct"": 0, ""as"": 100, ""role"": ""tier1_core""}]"
1785385173.999941,root1,home2,10.1.0.1,10.9.0.2,100,500,l2_learn,"[""s1"", ""s8"", ""s9""]","[100, 500]",3,4,43.5,87.0,0.93,6,128.66,120.855,140.366,0.0,"[{""hop"": 0, ""from"": ""root1"", ""to"": ""s1"", ""type"": ""access"", ""bw_mbps"": 50, ""delay_ms"": 0.5, ""loss_pct"": 0, ""as"": 100, ""role"": ""tier1_core""}, {""hop"": 1, ""from"": ""s1"", ""to"": ""s8"", ""type"": ""peering"", ""bw_mbps"": 20, ""delay_ms"": 20.0, ""loss_pct"": 0.03, ""jitter_ms"": 4.0, ""queue_size"": 30, ""as"": 500, ""role"": ""residential_agg""}, {""hop"": 2, ""from"": ""s8"", ""to"": ""s9"", ""type"": ""access_agg"", ""bw_mbps"": 15, ""delay_ms"": 3.0, ""loss_pct"": 0.1, ""jitter_ms"": 2.0, ""queue_size"": 30, ""as"": 500, ""role"": ""residential_access""}, {""hop"": 3, ""from"": ""s9"", ""to"": ""home2"", ""type"": ""access"", ""bw_mbps"": 6, ""delay_ms"": 20.0, ""loss_pct"": 0.8, ""as"": 500, ""role"": ""residential_access""}]"
1785385176.126297,home2,root1,10.9.0.2,10.1.0.1,500,100,l2_learn,"[""s9"", ""s8"", ""s1""]","[500, 100]",3,4,43.5,87.0,0.93,6,120.613,120.082,121.198,0.0,"[{""hop"": 0, ""from"": ""home2"", ""to"": ""s9"", ""type"": ""access"", ""bw_mbps"": 6, ""delay_ms"": 20.0, ""loss_pct"": 0.8, ""as"": 500, ""role"": ""residential_access""}, {""hop"": 1, ""from"": ""s9"", ""to"": ""s8"", ""type"": ""access_agg"", ""bw_mbps"": 15, ""delay_ms"": 3.0, ""loss_pct"": 0.1, ""jitter_ms"": 2.0, ""queue_size"": 30, ""as"": 500, ""role"": ""residential_agg""}, {""hop"": 2, ""from"": ""s8"", ""to"": ""s1"", ""type"": ""peering"", ""bw_mbps"": 20, ""delay_ms"": 20.0, ""loss_pct"": 0.03, ""jitter_ms"": 4.0, ""queue_size"": 30, ""as"": 100, ""role"": ""tier1_core""}, {""hop"": 3, ""from"": ""s1"", ""to"": ""root1"", ""type"": ""access"", ""bw_mbps"": 50, ""delay_ms"": 0.5, ""loss_pct"": 0, ""as"": 100, ""role"": ""tier1_core""}]"
1785385178.2865734,root1,mob1,10.1.0.1,10.8.0.1,100,500,l2_learn,"[""s1"", ""s8""]","[100, 500]",2,3,60.5,121.0,2.03,8,160.818,154.985,170.536,0.0,"[{""hop"": 0, ""from"": ""root1"", ""to"": ""s1"", ""type"": ""access"", ""bw_mbps"": 50, ""delay_ms"": 0.5, ""loss_pct"": 0, ""as"": 100, ""role"": ""tier1_core""}, {""hop"": 1, ""from"": ""s1"", ""to"": ""s8"", ""type"": ""peering"", ""bw_mbps"": 20, ""delay_ms"": 20.0, ""loss_pct"": 0.03, ""jitter_ms"": 4.0, ""queue_size"": 30, ""as"": 500, ""role"": ""residential_agg""}, {""hop"": 2, ""from"": ""s8"", ""to"": ""mob1"", ""type"": ""access"", ""bw_mbps"": 8, ""delay_ms"": 40.0, ""loss_pct"": 2.0, ""as"": 500, ""role"": ""residential_agg""}]"
1785385180.4483426,mob1,root1,10.8.0.1,10.1.0.1,500,100,l2_learn,"[""s8"", ""s1""]","[500, 100]",2,3,60.5,121.0,2.03,8,154.036,153.954,154.121,0.0,"[{""hop"": 0, ""from"": ""mob1"", ""to"": ""s8"", ""type"": ""access"", ""bw_mbps"": 8, ""delay_ms"": 40.0, ""loss_pct"": 2.0, ""as"": 500, ""role"": ""residential_agg""}, {""hop"": 1, ""from"": ""s8"", ""to"": ""s1"", ""type"": ""peering"", ""bw_mbps"": 20, ""delay_ms"": 20.0, ""loss_pct"": 0.03, ""jitter_ms"": 4.0, ""queue_size"": 30, ""as"": 100, ""role"": ""tier1_core""}, {""hop"": 2, ""from"": ""s1"", ""to"": ""root1"", ""type"": ""access"", ""bw_mbps"": 50, ""delay_ms"": 0.5, ""loss_pct"": 0, ""as"": 100, ""role"": ""tier1_core""}]"
1785385182.6413665,root1,mob2,10.1.0.1,10.8.0.2,100,500,l2_learn,"[""s1"", ""s8""]","[100, 500]",2,3,75.5,151.0,3.03,5,192.757,185.105,207.763,0.0,"[{""hop"": 0, ""from"": ""root1"", ""to"": ""s1"", ""type"": ""access"", ""bw_mbps"": 50, ""delay_ms"": 0.5, ""loss_pct"": 0, ""as"": 100, ""role"": ""tier1_core""}, {""hop"": 1, ""from"": ""s1"", ""to"": ""s8"", ""type"": ""peering"", ""bw_mbps"": 20, ""delay_ms"": 20.0, ""loss_pct"": 0.03, ""jitter_ms"": 4.0, ""queue_size"": 30, ""as"": 500, ""role"": ""residential_agg""}, {""hop"": 2, ""from"": ""s8"", ""to"": ""mob2"", ""type"": ""access"", ""bw_mbps"": 5, ""delay_ms"": 55.0, ""loss_pct"": 3.0, ""as"": 500, ""role"": ""residential_agg""}]"
1785385184.8346708,mob2,root1,10.8.0.2,10.1.0.1,500,100,l2_learn,"[""s8"", ""s1""]","[500, 100]",2,3,75.5,151.0,3.03,5,184.769,183.982,185.911,0.0,"[{""hop"": 0, ""from"": ""mob2"", ""to"": ""s8"", ""type"": ""access"", ""bw_mbps"": 5, ""delay_ms"": 55.0, ""loss_pct"": 3.0, ""as"": 500, ""role"": ""residential_agg""}, {""hop"": 1, ""from"": ""s8"", ""to"": ""s1"", ""type"": ""peering"", ""bw_mbps"": 20, ""delay_ms"": 20.0, ""loss_pct"": 0.03, ""jitter_ms"": 4.0, ""queue_size"": 30, ""as"": 100, ""role"": ""tier1_core""}, {""hop"": 2, ""from"": ""s1"", ""to"": ""root1"", ""type"": ""access"", ""bw_mbps"": 50, ""delay_ms"": 0.5, ""loss_pct"": 0, ""as"": 100, ""role"": ""tier1_core""}]"
